epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.79522,3.9944,4.0586,4.45941,0,0,0,0,3.2513,4.13362,4.16042,0.00012861,0.00012861,0.00012861
2,8.699,3.71132,3.47304,4.11782,0,0,0,0,3.25745,4.16525,4.1697,0.000268822,0.000268822,0.000268822
3,10.8296,3.27369,3.05429,3.77764,0,0,0,0,3.27775,4.24928,4.19255,0.000406205,0.000406205,0.000406205
4,13.0162,2.89665,2.75877,3.36606,0,0,0,0,3.30845,4.33209,4.2156,0.000540758,0.000540758,0.000540758
5,15.0626,2.60759,2.5066,3.04502,0,0,0,0,3.33355,4.43551,4.22729,0.000672482,0.000672482,0.000672482
6,17.1241,2.34898,2.38361,2.91183,0,0,0,0,3.33974,4.42516,4.23769,0.000801376,0.000801376,0.000801376
7,19.1716,2.33402,2.3476,2.6822,0,0,0,0,3.35824,4.38619,4.26008,0.000927441,0.000927441,0.000927441
8,21.3012,2.11078,2.20063,2.54724,0,0,0,0,3.41332,4.44174,4.30536,0.00105068,0.00105068,0.00105068
9,23.3879,2.03263,2.20766,2.47354,0,0,0,0,3.44556,4.4373,4.33266,0.00117108,0.00117108,0.00117108
10,25.4513,1.89604,2.01031,2.25089,0,0,0,0,3.43692,4.47657,4.33269,0.00128866,0.00128866,0.00128866
11,27.5839,1.77643,1.954,2.17,0.05538,0.21654,0.06242,0.02626,2.83436,4.08154,3.96281,0.00128753,0.00128753,0.00128753
12,29.6932,1.69829,1.91922,2.14737,0.28835,0.37538,0.19659,0.09716,2.05569,2.61818,2.91704,0.00127338,0.00127338,0.00127338
13,31.8007,1.64771,1.83486,2.03967,0.33993,0.47768,0.30147,0.14935,1.73557,2.0153,2.46695,0.00125923,0.00125923,0.00125923
14,33.9531,1.56321,1.87376,2.02011,0.32554,0.62916,0.37741,0.21258,1.55232,1.83128,2.2325,0.00124509,0.00124509,0.00124509
15,36.1,1.57444,1.90847,1.98936,0.33273,0.72737,0.36945,0.17522,1.69562,2.23704,2.22892,0.00123094,0.00123094,0.00123094
16,38.1312,1.61079,1.79609,2.00946,0.36367,0.6966,0.43153,0.2487,1.49674,2.02552,2.04205,0.00121679,0.00121679,0.00121679
17,40.2086,1.56505,1.77222,1.90657,0.33541,0.69326,0.384,0.24959,1.32707,2.00878,1.85017,0.00120265,0.00120265,0.00120265
18,42.2331,1.53623,1.72892,1.84077,0.33078,0.79966,0.38732,0.25508,1.27885,1.87863,1.82675,0.0011885,0.0011885,0.0011885
19,44.3372,1.43716,1.69442,1.8111,0.33249,0.86583,0.43366,0.31376,1.21349,1.53722,1.73519,0.00117435,0.00117435,0.00117435
20,46.429,1.37767,1.65707,1.70688,0.38715,0.77316,0.45492,0.31279,1.13817,1.57332,1.68223,0.00116021,0.00116021,0.00116021
21,48.57,1.33931,1.65593,1.71595,0.39674,0.78755,0.45271,0.28663,1.17497,1.61797,1.72868,0.00114606,0.00114606,0.00114606
22,50.6279,1.3009,1.60853,1.68292,0.40111,0.66042,0.48364,0.3499,1.15931,1.497,1.71784,0.00113191,0.00113191,0.00113191
