epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3391,4.02565,4.53013,4.46369,0,0,0,0,3.24834,4.22662,4.15881,0.00012861,0.00012861,0.00012861
2,25.7901,3.61527,3.81709,4.08418,0,0,0,0,3.25353,4.23225,4.16109,0.000268822,0.000268822,0.000268822
3,30.6995,3.01931,3.06598,3.68302,0,0,0,0,3.26542,4.29216,4.17259,0.000406205,0.000406205,0.000406205
4,35.4255,2.56028,2.74091,3.37392,0,0,0,0,3.28395,4.25724,4.19318,0.000540758,0.000540758,0.000540758
5,40.0915,2.26019,2.46913,3.12817,0,0,0,0,3.30176,4.33886,4.21526,0.000672482,0.000672482,0.000672482
6,44.2398,2.1578,2.33689,2.93987,0,0,0,0,3.33089,4.39768,4.24583,0.000801376,0.000801376,0.000801376
7,49.1051,1.95569,2.162,2.64143,0,0,0,0,3.34302,4.38528,4.25685,0.000927441,0.000927441,0.000927441
8,53.6569,1.82465,2.14372,2.4897,0,0,0,0,3.30896,4.30864,4.2351,0.00105068,0.00105068,0.00105068
9,58.5041,1.94548,2.23254,2.48992,0.00544,0.08816,0.01181,0.00544,2.98981,4.18658,4.09503,0.00117108,0.00117108,0.00117108
10,62.9906,1.79377,1.96466,2.22995,0.01247,0.21568,0.01275,0.00598,2.87216,65.4552,6.34271,0.00128866,0.00128866,0.00128866
11,67.6515,1.66491,1.90895,2.11323,0.25685,0.26437,0.1133,0.05492,2.37553,7.28933,3.77816,0.00128753,0.00128753,0.00128753
12,72.3696,1.72331,2.00325,2.17735,0.07198,0.52381,0.07666,0.0383,2.02234,15.0797,3.19894,0.00127338,0.00127338,0.00127338
13,75.8676,1.62768,1.88803,2.05134,0.16285,0.34728,0.11458,0.05711,2.32329,17.8002,4.1518,0.00125923,0.00125923,0.00125923
14,80.5975,1.60206,1.89397,2.02692,0.28499,0.24697,0.19056,0.09443,2.22493,3.18351,3.27698,0.00124509,0.00124509,0.00124509
15,84.9484,1.59338,1.84337,1.95728,0.30675,0.17471,0.15142,0.08377,2.04519,3.67293,3.10673,0.00123094,0.00123094,0.00123094
16,88.3897,1.58699,1.80725,1.92238,0.3357,0.46193,0.35096,0.22942,1.41164,2.20914,2.11079,0.00121679,0.00121679,0.00121679
17,92.8298,1.49428,1.72291,1.80048,0.37166,0.75095,0.47626,0.33968,1.13745,1.61135,1.68395,0.00120265,0.00120265,0.00120265
18,97.5675,1.37472,1.67639,1.71283,0.39303,0.62913,0.45747,0.30074,1.30529,2.05646,1.74667,0.0011885,0.0011885,0.0011885
19,100.932,1.42115,1.67725,1.74423,0.42585,0.69766,0.48475,0.32847,1.18458,1.58457,1.68317,0.00117435,0.00117435,0.00117435
20,104.11,1.36156,1.64265,1.67573,0.47322,0.66967,0.535,0.37478,1.18887,1.48416,1.64311,0.00116021,0.00116021,0.00116021
21,108.171,1.26509,1.59747,1.62331,0.52824,0.55037,0.52956,0.39609,1.08305,1.40601,1.58945,0.00114606,0.00114606,0.00114606
22,112.948,1.2561,1.58967,1.59934,0.36099,0.67771,0.47683,0.34748,1.05397,1.60045,1.573,0.00113191,0.00113191,0.00113191
23,116.306,1.2229,1.53498,1.55894,0.49762,0.68696,0.53651,0.39149,1.13926,1.39165,1.60069,0.00111776,0.00111776,0.00111776
24,119.742,1.16038,1.47068,1.45913,0.52374,0.62881,0.55173,0.42035,0.96675,1.43211,1.45917,0.00110362,0.00110362,0.00110362
25,123.834,1.18192,1.49823,1.51453,0.57686,0.63036,0.59092,0.43342,1.00987,1.38678,1.46287,0.00108947,0.00108947,0.00108947
26,128.203,1.17454,1.48327,1.49176,0.50398,0.7271,0.6009,0.47049,0.92922,1.33727,1.39121,0.00107532,0.00107532,0.00107532
27,132.811,1.08959,1.42901,1.45011,0.5043,0.7402,0.60191,0.49155,0.83102,1.30016,1.28911,0.00106118,0.00106118,0.00106118
28,137.59,1.10947,1.4938,1.46421,0.47265,0.69906,0.54412,0.43535,0.86143,1.30382,1.30299,0.00104703,0.00104703,0.00104703
29,140.977,1.03198,1.34597,1.37605,0.48807,0.73826,0.59665,0.46792,0.88115,1.30563,1.34499,0.00103288,0.00103288,0.00103288
30,144.501,1.0923,1.36757,1.40436,0.49293,0.80074,0.65451,0.53197,0.82019,1.2648,1.30085,0.00101873,0.00101873,0.00101873
31,149.022,1.08849,1.38793,1.43793,0.48339,0.73997,0.6361,0.48978,0.91891,1.25739,1.34483,0.00100459,0.00100459,0.00100459
32,152.482,1.02629,1.29168,1.36836,0.55055,0.77925,0.66746,0.53051,0.86547,1.23873,1.29921,0.00099044,0.00099044,0.00099044
33,155.875,1.07883,1.33066,1.36531,0.49998,0.77117,0.68021,0.5299,0.93646,1.21238,1.33158,0.000976293,0.000976293,0.000976293
34,160.42,1.06096,1.32095,1.37579,0.58462,0.80813,0.67595,0.5498,0.7838,1.15312,1.25744,0.000962146,0.000962146,0.000962146
35,164.383,1.0229,1.30084,1.38161,0.52056,0.82926,0.67305,0.54761,0.84134,1.23133,1.2778,0.000947999,0.000947999,0.000947999
36,167.686,0.99429,1.30294,1.35823,0.61741,0.7086,0.69632,0.55989,0.83748,1.13099,1.27283,0.000933851,0.000933851,0.000933851
37,172.324,0.95523,1.20399,1.30031,0.56705,0.84341,0.72172,0.5708,0.84715,1.07909,1.27453,0.000919704,0.000919704,0.000919704
38,176.527,0.99041,1.2425,1.32135,0.66029,0.77751,0.72701,0.58475,0.81611,1.11987,1.25306,0.000905557,0.000905557,0.000905557
39,181.291,0.97949,1.24115,1.29975,0.55015,0.82883,0.67419,0.5454,0.8119,1.12145,1.21005,0.00089141,0.00089141,0.00089141
40,184.793,0.98965,1.21997,1.31395,0.55559,0.7823,0.68774,0.56607,0.75769,1.0919,1.19707,0.000877263,0.000877263,0.000877263
41,188.463,0.88884,1.17571,1.2401,0.56766,0.80941,0.70936,0.57442,0.78071,1.10283,1.22326,0.000863116,0.000863116,0.000863116
42,191.877,0.90957,1.15209,1.25628,0.59369,0.82174,0.70788,0.5871,0.73728,1.11456,1.19559,0.000848969,0.000848969,0.000848969
43,196.5,0.89128,1.10772,1.22346,0.6257,0.71162,0.75065,0.59473,0.8055,1.08917,1.26012,0.000834822,0.000834822,0.000834822
44,201.221,0.89794,1.12443,1.22942,0.59009,0.76825,0.74521,0.60606,0.75233,1.02885,1.17962,0.000820675,0.000820675,0.000820675
45,205.979,0.89552,1.10988,1.24789,0.65727,0.79652,0.77256,0.63096,0.79511,0.99147,1.19282,0.000806528,0.000806528,0.000806528
46,210.65,0.89125,1.07709,1.24696,0.61786,0.8507,0.78298,0.65629,0.71117,0.95169,1.1617,0.00079238,0.00079238,0.00079238
47,215.459,0.89143,1.04213,1.23109,0.77235,0.7886,0.84539,0.69265,0.79219,0.95221,1.18812,0.000778233,0.000778233,0.000778233
48,220.074,0.94989,1.03553,1.26028,0.6938,0.81585,0.81798,0.67663,0.7124,0.99047,1.17657,0.000764086,0.000764086,0.000764086
49,223.157,0.90453,1.02475,1.28344,0.68784,0.84185,0.84167,0.69637,0.75059,0.95975,1.21367,0.000749939,0.000749939,0.000749939
50,227.968,0.86831,0.98205,1.23483,0.74991,0.75182,0.86461,0.7179,0.69558,0.95522,1.16496,0.000735792,0.000735792,0.000735792
51,232.294,0.84724,0.94993,1.19724,0.727,0.81059,0.85014,0.71319,0.68466,0.89495,1.13729,0.000721645,0.000721645,0.000721645
52,235.742,0.857,0.98492,1.22935,0.76291,0.7544,0.83035,0.70222,0.70391,0.88711,1.12499,0.000707498,0.000707498,0.000707498
53,239.225,0.80579,0.91819,1.18258,0.76832,0.82263,0.87367,0.73878,0.67929,0.87039,1.13741,0.000693351,0.000693351,0.000693351
54,243.98,0.80467,0.92789,1.17293,0.84131,0.78776,0.89417,0.75196,0.70429,0.80049,1.17195,0.000679204,0.000679204,0.000679204
55,248.635,0.80756,0.91178,1.17447,0.83447,0.80194,0.88502,0.75102,0.6879,0.78971,1.13017,0.000665057,0.000665057,0.000665057
56,252.027,0.82621,0.882,1.17515,0.77463,0.83677,0.89757,0.75913,0.68509,0.80366,1.10884,0.000650909,0.000650909,0.000650909
57,256.897,0.82148,0.85167,1.19332,0.83561,0.82936,0.90253,0.75682,0.70341,0.78568,1.13301,0.000636762,0.000636762,0.000636762
58,260.271,0.80586,0.90105,1.18754,0.81181,0.82379,0.87082,0.74661,0.66506,0.79222,1.11316,0.000622615,0.000622615,0.000622615
59,263.771,0.77325,0.85096,1.13086,0.80735,0.88034,0.89864,0.76355,0.67043,0.75186,1.1111,0.000608468,0.000608468,0.000608468
60,267.754,0.79077,0.85035,1.17294,0.87557,0.88948,0.92168,0.78243,0.67629,0.70733,1.11906,0.000594321,0.000594321,0.000594321
61,272.463,0.81432,0.8335,1.15869,0.87933,0.83356,0.92269,0.78472,0.66687,0.71173,1.10182,0.000580174,0.000580174,0.000580174
62,277.162,0.8088,0.80444,1.14128,0.82063,0.81694,0.90212,0.76166,0.69109,0.77275,1.10031,0.000566027,0.000566027,0.000566027
63,280.296,0.78702,0.82601,1.18227,0.89659,0.85004,0.92203,0.78726,0.67518,0.70998,1.10447,0.00055188,0.00055188,0.00055188
64,284.1,0.75686,0.77802,1.12177,0.84675,0.8595,0.92867,0.79169,0.65733,0.71166,1.09461,0.000537733,0.000537733,0.000537733
65,288.831,0.74956,0.80301,1.13191,0.81589,0.87448,0.91056,0.78829,0.63424,0.69594,1.07239,0.000523586,0.000523586,0.000523586
66,292.224,0.77437,0.82674,1.17844,0.79642,0.88585,0.92833,0.78472,0.67123,0.68579,1.11278,0.000509438,0.000509438,0.000509438
67,295.645,0.76731,0.76935,1.12338,0.82809,0.88608,0.92323,0.79314,0.63973,0.6732,1.08556,0.000495291,0.000495291,0.000495291
